reference,country,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,billionaires
2016Afghanistan,Afghanistan,2016,4.22,7.697,0.559,53,0.523,0.042,0.793,0.565,0.348,0
2016Albania,Albania,2016,4.511,9.437,0.638,68.1,0.73,-0.017,0.901,0.675,0.322,0
2016Algeria,Algeria,2016,5.341,9.362,0.749,65.5,,,,0.661,0.377,0
2016Argentina,Argentina,2016,6.427,10.051,0.883,68.4,0.848,-0.192,0.851,0.842,0.312,0
2016Armenia,Armenia,2016,4.325,9.333,0.709,66.3,0.611,-0.17,0.921,0.594,0.437,0
2016Australia,Australia,2016,7.25,10.791,0.942,73,0.922,0.239,0.399,0.791,0.236,6
2016Austria,Austria,2016,7.048,10.891,0.926,72.4,0.889,0.08,0.524,0.756,0.197,2
2016Azerbaijan,Azerbaijan,2016,5.304,9.564,0.777,64.9,0.713,-0.204,0.607,0.598,0.191,0
2016Bahrain,Bahrain,2016,6.17,10.781,0.863,68.1,0.889,0.088,,0.787,0.283,0
2016Bangladesh,Bangladesh,2016,4.556,8.274,0.649,63.3,0.875,-0.089,0.688,0.56,0.235,0
2016Belarus,Belarus,2016,5.178,9.788,0.927,65.5,0.658,-0.125,0.664,0.554,0.182,0
2016Belgium,Belgium,2016,6.949,10.819,0.929,71.6,0.866,-0.056,0.497,0.765,0.26,1
2016Benin,Benin,2016,4.007,7.993,0.493,53.5,0.78,-0.065,0.838,0.608,0.456,0
2016Bolivia,Bolivia,2016,5.77,9.012,0.796,63,0.882,-0.047,0.853,0.783,0.376,0
2016Bosnia and Herzegovina,Bosnia and Herzegovina,2016,5.181,9.5,0.808,67.2,0.633,0.134,0.957,0.641,0.304,0
2016Botswana,Botswana,2016,3.499,9.748,0.768,57.5,0.852,-0.253,0.729,0.686,0.252,0
2016Brazil,Brazil,2016,6.375,9.578,0.912,66,0.807,-0.1,0.781,0.763,0.302,9
2016Bulgaria,Bulgaria,2016,4.838,9.928,0.926,66.4,0.7,-0.17,0.936,0.622,0.172,0
2016Burkina Faso,Burkina Faso,2016,4.206,7.596,0.764,52.9,0.645,-0.001,0.721,0.616,0.337,0
2016Cambodia,Cambodia,2016,4.461,8.225,0.746,60.8,0.958,0.076,0.84,0.839,0.398,0
2016Cameroon,Cameroon,2016,4.816,8.167,0.659,51.1,0.713,-0.003,0.879,0.662,0.367,0
2016Canada,Canada,2016,7.245,10.773,0.924,73.2,0.912,0.211,0.385,0.825,0.237,9
2016Central African Republic,Central African Republic,2016,2.693,6.785,0.29,44.9,0.624,0.033,0.859,0.579,0.494,0
2016Chad,Chad,2016,4.029,7.431,0.616,47.2,0.525,0.052,0.82,0.582,0.468,0
2016Chile,Chile,2016,6.579,10.074,0.841,69.7,0.652,0.102,0.858,0.869,0.283,3
2016China,China,2016,5.325,9.51,0.742,68.7,,-0.228,,0.826,0.146,50
2016Colombia,Colombia,2016,6.234,9.571,0.882,67.1,0.835,-0.1,0.898,0.794,0.294,1
2016Congo (Brazzaville),Congo (Brazzaville),2016,4.119,8.19,0.615,56.7,0.786,-0.072,0.79,0.61,0.304,0
2016Congo (Kinshasa),Congo (Kinshasa),2016,4.522,6.962,0.864,52.5,0.637,-0.024,0.875,0.646,0.222,0
2016Costa Rica,Costa Rica,2016,7.136,9.83,0.901,70.9,0.873,-0.032,0.781,0.874,0.281,0
2016Croatia,Croatia,2016,5.417,10.146,0.798,69,0.672,-0.065,0.884,0.614,0.337,0
2016Cyprus,Cyprus,2016,5.795,10.506,0.786,73.3,0.756,-0.03,0.898,0.742,0.336,1
2016Czech Republic,Czech Republic,2016,6.736,10.518,0.931,69.3,0.85,-0.197,0.9,0.756,0.201,2
2016Denmark,Denmark,2016,7.558,10.903,0.954,71.8,0.948,0.138,0.21,0.836,0.208,6
2016Dominican Republic,Dominican Republic,2016,5.239,9.691,0.895,65.2,0.873,-0.08,0.737,0.76,0.278,0
2016Ecuador,Ecuador,2016,6.115,9.355,0.842,67.9,0.846,-0.015,0.774,0.846,0.365,0
2016Egypt,Egypt,2016,4.557,9.287,0.809,61.1,0.656,-0.141,0.818,0.611,0.37,1
2016El Salvador,El Salvador,2016,6.14,9.025,0.794,65.5,0.8,-0.185,0.797,0.761,0.346,0
2016Estonia,Estonia,2016,5.65,10.374,0.938,68.2,0.843,-0.149,0.639,0.726,0.177,0
2016Ethiopia,Ethiopia,2016,4.298,7.547,0.719,57.5,0.744,0.038,0.703,0.727,0.254,0
2016Finland,Finland,2016,7.66,10.74,0.954,71.7,0.948,-0.027,0.25,0.797,0.182,0
2016France,France,2016,6.475,10.69,0.885,73.4,0.787,-0.091,0.623,0.773,0.27,17
2016Gabon,Gabon,2016,4.832,9.639,0.78,58.7,0.699,-0.204,0.817,0.64,0.432,0
2016Georgia,Georgia,2016,4.448,9.47,0.533,64.9,0.606,-0.249,0.561,0.564,0.223,1
2016Germany,Germany,2016,6.874,10.858,0.906,71.6,0.871,0.148,0.446,0.738,0.187,39
2016Ghana,Ghana,2016,4.514,8.46,0.647,56.4,0.751,0.09,0.894,0.668,0.305,0
2016Greece,Greece,2016,5.303,10.261,0.803,72,0.482,-0.26,0.898,0.701,0.336,0
2016Guatemala,Guatemala,2016,6.359,9.013,0.811,64.2,0.863,0.011,0.812,0.846,0.321,0
2016Guinea,Guinea,2016,3.603,7.721,0.675,52.2,0.726,-0.056,0.803,0.687,0.374,0
2016Haiti,Haiti,2016,3.352,7.477,0.584,55.3,0.304,0.291,0.839,0.553,0.367,0
2016Honduras,Honduras,2016,5.648,8.593,0.774,66.8,0.85,0.08,0.793,0.832,0.297,0
2016Hong Kong S.A.R. of China,Hong Kong S.A.R. of China,2016,5.498,10.97,0.832,,0.8,0.1,0.403,0.664,0.213,0
2016Hungary,Hungary,2016,5.449,10.248,0.9,66.8,0.554,-0.187,0.924,0.666,0.243,0
2016Iceland,Iceland,2016,7.51,10.904,0.985,73,0.952,0.281,0.719,0.874,0.158,0
2016India,India,2016,4.179,8.673,0.614,59.3,0.82,0.046,0.765,0.695,0.346,26
2016Indonesia,Indonesia,2016,5.136,9.262,0.792,61.7,0.83,0.5,0.89,0.833,0.342,3
2016Iran,Iran,2016,4.653,9.561,0.566,65.4,0.773,0.186,0.713,0.687,0.526,0
2016Iraq,Iraq,2016,4.413,9.354,0.719,59,0.666,-0.052,0.799,0.489,0.57,0
2016Ireland,Ireland,2016,7.041,11.199,0.958,72.1,0.875,0.174,0.399,0.809,0.211,3
2016Israel,Israel,2016,7.159,10.555,0.89,72.9,0.772,0.153,0.804,0.629,0.263,3
2016Italy,Italy,2016,5.955,10.622,0.927,73.2,0.624,-0.081,0.903,0.685,0.339,8
2016Ivory Coast,Ivory Coast,2016,4.543,8.437,0.617,48.3,0.769,-0.043,0.757,0.704,0.378,0
2016Japan,Japan,2016,5.955,10.595,0.9,74.8,0.836,-0.062,0.698,0.76,0.192,8
2016Jordan,Jordan,2016,5.271,9.197,0.82,66.4,0.771,-0.038,,0.641,0.312,0
2016Kazakhstan,Kazakhstan,2016,5.534,10.095,0.928,63.4,0.783,-0.036,0.702,0.702,0.155,0
2016Kenya,Kenya,2016,4.396,8.282,0.706,58.9,0.749,0.298,0.828,0.743,0.226,0
2016Kosovo,Kosovo,2016,5.759,9.228,0.824,,0.827,0.125,0.941,0.704,0.15,0
2016Kuwait,Kuwait,2016,5.947,10.91,0.845,66.3,0.841,-0.075,,0.688,0.315,0
2016Kyrgyzstan,Kyrgyzstan,2016,4.857,8.5,0.914,63.5,0.814,0.056,0.917,0.778,0.126,0
2016Latvia,Latvia,2016,5.94,10.211,0.917,66.2,0.685,-0.156,0.868,0.654,0.231,0
2016Lebanon,Lebanon,2016,5.271,9.687,0.828,66.1,0.657,0.031,0.853,0.553,0.263,0
2016Lesotho,Lesotho,2016,3.808,7.953,0.798,46.6,0.729,-0.099,0.743,0.732,0.27,0
2016Liberia,Liberia,2016,3.355,7.324,0.643,54.5,0.763,0.033,0.901,0.636,0.509,0
2016Libya,Libya,2016,5.434,9.268,0.876,62.3,0.822,-0.089,,0.718,0.383,0
2016Lithuania,Lithuania,2016,5.866,10.373,0.938,66.1,0.614,-0.266,0.949,0.594,0.25,0
2016Luxembourg,Luxembourg,2016,6.967,11.64,0.941,72.6,0.882,0.019,0.356,0.758,0.192,0
2016Madagascar,Madagascar,2016,3.663,7.356,0.746,58.3,0.57,-0.069,0.864,0.813,0.204,0
2016Malawi,Malawi,2016,3.476,6.932,0.524,56.2,0.81,0.066,0.824,0.603,0.325,0
2016Mali,Mali,2016,4.016,7.695,0.836,50.7,0.696,-0.07,0.862,0.807,0.305,0
2016Malta,Malta,2016,6.591,10.599,0.93,72.2,0.916,0.345,0.696,0.687,0.355,0
2016Mauritania,Mauritania,2016,4.472,8.526,0.785,56.4,0.467,-0.175,0.842,0.735,0.222,0
2016Mauritius,Mauritius,2016,5.61,9.935,0.836,65.8,0.819,0.139,0.891,0.785,0.246,0
2016Mexico,Mexico,2016,6.824,9.884,0.893,67.7,0.752,-0.153,0.809,0.859,0.22,8
2016Moldova,Moldova,2016,5.578,9.3,0.837,63.6,0.557,-0.047,0.969,0.621,0.275,0
2016Mongolia,Mongolia,2016,5.057,9.3,0.947,61.9,0.76,0.09,0.9,0.694,0.171,0
2016Montenegro,Montenegro,2016,5.304,9.839,0.866,68.1,0.569,-0.087,0.849,0.591,0.337,0
2016Morocco,Morocco,2016,5.386,8.869,0.655,65.3,0.817,-0.237,0.717,0.713,0.205,0
2016Myanmar,Myanmar,2016,4.623,8.408,0.793,58.4,0.877,0.679,0.607,0.804,0.302,0
2016Nepal,Nepal,2016,5.1,7.973,0.837,61.3,0.839,0.168,0.817,0.627,0.37,0
2016Netherlands,Netherlands,2016,7.541,10.899,0.926,72.1,0.907,0.239,0.433,0.838,0.215,2
2016New Zealand,New Zealand,2016,7.226,10.623,0.937,72.8,0.927,0.266,0.278,0.833,0.207,1
2016Nicaragua,Nicaragua,2016,6.013,8.668,0.853,66.9,0.717,0.039,0.731,0.805,0.38,0
2016Niger,Niger,2016,4.235,7.047,0.683,52.5,0.702,-0.016,0.814,0.675,0.325,0
2016Nigeria,Nigeria,2016,5.22,8.573,0.805,48.9,0.798,0.043,0.905,0.732,0.252,2
2016North Cyprus,North Cyprus,2016,5.827,,0.808,,0.796,,0.67,0.644,0.346,0
2016North Macedonia,North Macedonia,2016,5.346,9.64,0.871,65.225,0.706,0.08,0.87,0.639,0.292,0
2016Norway,Norway,2016,7.596,11.035,0.96,73,0.954,0.133,0.41,0.85,0.209,2
2016Pakistan,Pakistan,2016,5.549,8.394,0.627,57.7,0.634,0.095,0.793,0.648,0.332,0
2016Palestinian Territories,Palestinian Territories,2016,4.907,8.498,0.818,,0.608,-0.129,0.812,0.593,0.378,0
2016Panama,Panama,2016,6.118,10.287,0.882,69.4,0.884,-0.102,0.837,0.858,0.244,0
2016Paraguay,Paraguay,2016,5.801,9.406,0.94,65.3,0.854,-0.071,0.756,0.925,0.197,0
2016Peru,Peru,2016,5.701,9.426,0.803,67.5,0.83,-0.134,0.866,0.822,0.338,0
2016Philippines,Philippines,2016,5.431,8.95,0.821,61.7,0.908,-0.071,0.792,0.821,0.29,4
2016Poland,Poland,2016,6.162,10.266,0.917,68.5,0.871,-0.091,0.848,0.777,0.224,0
2016Portugal,Portugal,2016,5.447,10.37,0.905,72,0.838,-0.225,0.922,0.684,0.326,1
2016Romania,Romania,2016,5.969,10.136,0.809,66.6,0.822,-0.115,0.949,0.694,0.258,0
2016Russia,Russia,2016,5.855,10.149,0.911,63.5,0.714,-0.181,0.925,0.636,0.142,27
2016Rwanda,Rwanda,2016,3.333,7.576,0.665,59.9,0.911,0.025,0.159,0.752,0.285,0
2016Saudi Arabia,Saudi Arabia,2016,6.474,10.792,0.89,65.7,0.774,-0.132,,0.793,0.266,0
2016Senegal,Senegal,2016,4.595,8.029,0.839,58.8,0.744,-0.086,0.794,0.784,0.245,0
2016Serbia,Serbia,2016,5.753,9.688,0.895,67.4,0.614,-0.068,0.89,0.535,0.298,0
2016Sierra Leone,Sierra Leone,2016,4.733,7.384,0.657,47.6,0.681,0.106,0.863,0.584,0.456,0
2016Singapore,Singapore,2016,6.033,11.419,0.925,76.2,0.904,0.143,0.047,0.824,0.111,4
2016Slovakia,Slovakia,2016,5.993,10.31,0.945,68.3,0.7,-0.061,0.917,0.774,0.232,0
2016Slovenia,Slovenia,2016,5.937,10.463,0.934,70.5,0.904,-0.055,0.838,0.626,0.272,0
2016Somalia,Somalia,2016,4.668,,0.594,50,0.917,,0.441,0.891,0.193,0
2016South Africa,South Africa,2016,4.77,9.45,0.875,55.7,0.774,-0.07,0.813,0.786,0.301,2
2016South Korea,South Korea,2016,5.971,10.593,0.811,73,0.591,0.026,0.862,0.676,0.233,8
2016South Sudan,South Sudan,2016,2.888,,0.532,50.6,0.44,,0.785,0.615,0.549,0
2016Spain,Spain,2016,6.319,10.56,0.942,73.8,0.768,-0.048,0.819,0.653,0.301,4
2016Sweden,Sweden,2016,7.369,10.861,0.912,72.4,0.918,0.146,0.246,0.816,0.201,11
2016Switzerland,Switzerland,2016,7.459,11.106,0.928,73.5,0.934,0.088,0.302,0.779,0.206,10
2016Taiwan Province of China,Taiwan Province of China,2016,6.513,10.855,0.895,,0.719,-0.049,0.811,0.833,0.108,0
2016Tajikistan,Tajikistan,2016,5.104,7.987,0.857,63.5,0.703,0.01,0.632,0.644,0.22,0
2016Tanzania,Tanzania,2016,2.903,7.8,0.638,56.5,0.775,0.179,0.739,0.694,0.246,0
2016Thailand,Thailand,2016,6.074,9.729,0.908,66.8,0.924,0.356,0.878,0.835,0.218,3
2016Togo,Togo,2016,3.879,7.306,0.509,53.9,0.73,-0.007,0.815,0.604,0.483,0
2016Tunisia,Tunisia,2016,4.521,9.262,0.702,66.3,0.614,-0.165,0.811,0.612,0.378,0
2016Turkey,Turkey,2016,5.326,10.181,0.88,66,0.644,-0.065,0.764,0.465,0.39,1
2016Turkmenistan,Turkmenistan,2016,5.887,9.515,0.929,61.4,0.749,0.005,,0.636,0.255,0
2016Uganda,Uganda,2016,4.233,7.637,0.754,54.9,0.739,0.132,0.811,0.668,0.41,0
2016Ukraine,Ukraine,2016,4.029,9.353,0.885,64,0.503,0.011,0.891,0.589,0.22,1
2016United Arab Emirates,United Arab Emirates,2016,6.831,11.105,0.849,66.7,0.949,0.131,,0.775,0.245,2
2016United Kingdom,United Kingdom,2016,6.824,10.724,0.954,71.9,0.821,0.25,0.458,0.776,0.23,18
2016United States,United States,2016,6.804,10.986,0.897,68.5,0.758,0.144,0.739,0.806,0.264,158
2016Uruguay,Uruguay,2016,6.171,9.946,0.9,68.8,0.886,-0.072,0.676,0.842,0.283,0
2016Uzbekistan,Uzbekistan,2016,5.893,8.756,0.945,64.5,0.984,0.208,,0.842,0.147,0
2016Venezuela,Venezuela,2016,4.041,9.01,0.902,66.1,0.458,-0.155,0.89,0.688,0.392,1
2016Vietnam,Vietnam,2016,5.062,8.82,0.876,67.5,0.894,-0.09,0.799,0.536,0.223,0
2016Yemen,Yemen,2016,3.826,7.715,0.775,55.1,0.533,-0.151,,0.469,0.228,0
2016Zambia,Zambia,2016,4.348,8.151,0.767,54.3,0.812,0.122,0.771,0.731,0.372,0
2016Zimbabwe,Zimbabwe,2016,3.735,7.984,0.768,54.4,0.733,-0.095,0.724,0.738,0.209,0
2017Afghanistan,Afghanistan,2017,2.662,7.697,0.491,52.8,0.427,-0.121,0.954,0.496,0.371,0
2017Albania,Albania,2017,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,0.669,0.334,0
2017Algeria,Algeria,2017,5.249,9.354,0.807,65.7,0.437,-0.167,0.7,0.642,0.289,0
2017Argentina,Argentina,2017,6.039,10.067,0.907,68.6,0.832,-0.186,0.841,0.809,0.292,0
2017Armenia,Armenia,2017,4.288,9.402,0.698,66.6,0.614,-0.147,0.865,0.625,0.437,0
2017Australia,Australia,2017,7.257,10.798,0.95,73.3,0.911,0.317,0.411,0.78,0.225,6
2017Austria,Austria,2017,7.294,10.908,0.906,72.7,0.89,0.133,0.518,0.748,0.18,2
2017Azerbaijan,Azerbaijan,2017,5.152,9.555,0.787,65.2,0.731,-0.225,0.653,0.592,0.198,0
2017Bahrain,Bahrain,2017,6.227,10.771,0.876,68.5,0.906,0.136,,0.814,0.29,0
2017Bangladesh,Bangladesh,2017,4.31,8.334,0.713,63.8,0.896,0.012,0.635,0.569,0.214,0
2017Belarus,Belarus,2017,5.553,9.814,0.9,65.8,0.621,-0.122,0.654,0.541,0.233,0
2017Belgium,Belgium,2017,6.928,10.834,0.922,71.8,0.857,0.054,0.543,0.786,0.234,1
2017Benin,Benin,2017,4.853,8.021,0.436,53.9,0.727,-0.065,0.767,0.615,0.458,0
2017Bolivia,Bolivia,2017,5.651,9.039,0.779,63.3,0.884,-0.12,0.819,0.698,0.434,0
2017Bosnia and Herzegovina,Bosnia and Herzegovina,2017,5.09,9.532,0.775,67.5,0.564,0.092,0.923,0.597,0.271,0
2017Botswana,Botswana,2017,3.505,9.756,0.768,58.2,0.817,-0.248,0.731,0.656,0.276,0
2017Brazil,Brazil,2017,6.333,9.583,0.905,66.2,0.765,-0.175,0.794,0.716,0.308,9
2017Bulgaria,Bulgaria,2017,5.097,9.969,0.942,66.6,0.689,-0.154,0.911,0.614,0.189,0
2017Burkina Faso,Burkina Faso,2017,4.647,7.627,0.785,53.4,0.614,-0.063,0.727,0.585,0.354,0
2017Cambodia,Cambodia,2017,4.586,8.276,0.765,61.2,0.964,0.088,0.821,0.799,0.408,0
2017Cameroon,Cameroon,2017,5.074,8.176,0.695,51.9,0.767,-0.028,0.844,0.632,0.377,0
2017Canada,Canada,2017,7.415,10.792,0.934,73.4,0.945,0.163,0.362,0.863,0.218,10
2017Central African Republic,Central African Republic,2017,3.476,6.817,0.32,45.2,0.645,0.073,0.89,0.614,0.599,0
2017Chad,Chad,2017,4.559,7.37,0.661,47.7,0.615,0.008,0.792,0.628,0.538,0
2017Chile,Chile,2017,6.32,10.072,0.88,69.8,0.79,-0.02,0.836,0.838,0.291,2
2017China,China,2017,5.099,9.571,0.772,69,0.878,-0.175,,0.821,0.214,40
2017Colombia,Colombia,2017,6.157,9.569,0.909,67.4,0.838,-0.157,0.875,0.837,0.299,1
2017Congo (Brazzaville),Congo (Brazzaville),2017,4.884,8.146,0.655,57.3,0.778,-0.131,0.763,0.599,0.382,0
2017Congo (Kinshasa),Congo (Kinshasa),2017,4.311,6.966,0.67,52.9,0.704,0.068,0.809,0.551,0.404,0
2017Costa Rica,Costa Rica,2017,7.225,9.858,0.922,71.1,0.936,-0.076,0.742,0.874,0.275,0
2017Croatia,Croatia,2017,5.343,10.189,0.77,69.6,0.716,-0.104,0.892,0.655,0.316,0
2017Cyprus,Cyprus,2017,6.062,10.539,0.819,73.5,0.812,0.043,0.851,0.784,0.301,1
2017Czech Republic,Czech Republic,2017,6.79,10.558,0.901,69.8,0.832,-0.177,0.867,0.739,0.227,1
2017Denmark,Denmark,2017,7.594,10.916,0.952,72.1,0.955,0.155,0.181,0.824,0.206,3
2017Dominican Republic,Dominican Republic,2017,5.605,9.725,0.894,65.5,0.855,-0.121,0.76,0.739,0.275,0
2017Ecuador,Ecuador,2017,5.84,9.36,0.849,68.2,0.879,-0.167,0.734,0.829,0.314,0
2017Egypt,Egypt,2017,3.929,9.307,0.638,61.4,0.593,-0.152,,0.539,0.414,2
2017El Salvador,El Salvador,2017,6.339,9.042,0.829,65.8,0.758,-0.172,0.778,0.849,0.268,0
2017Estonia,Estonia,2017,5.938,10.429,0.936,68.4,0.862,-0.101,0.668,0.805,0.16,0
2017Ethiopia,Ethiopia,2017,4.18,7.612,0.734,58,0.717,0.001,0.757,0.609,0.304,0
2017Finland,Finland,2017,7.788,10.768,0.964,71.8,0.962,-0.002,0.192,0.787,0.176,0
2017France,France,2017,6.635,10.711,0.931,73.6,0.834,-0.123,0.601,0.762,0.242,16
2017Gabon,Gabon,2017,4.782,9.616,0.807,59.2,0.652,-0.228,0.868,0.634,0.446,0
2017Gambia,Gambia,2017,4.118,7.637,0.697,54.7,0.812,0.111,0.572,0.838,0.277,0
2017Georgia,Georgia,2017,4.451,9.517,0.59,64.7,0.821,-0.244,0.59,0.581,0.21,1
2017Germany,Germany,2017,7.074,10.878,0.892,71.9,0.841,0.145,0.414,0.737,0.196,34
2017Ghana,Ghana,2017,5.481,8.517,0.669,56.8,0.783,0.079,0.839,0.703,0.248,0
2017Greece,Greece,2017,5.148,10.278,0.753,72.2,0.438,-0.29,0.872,0.603,0.333,0
2017Guatemala,Guatemala,2017,6.325,9.026,0.826,64.5,0.915,-0.059,0.8,0.846,0.308,0
2017Guinea,Guinea,2017,4.874,7.792,0.634,53.3,0.738,0.038,0.75,0.704,0.422,0
2017Haiti,Haiti,2017,3.824,7.475,0.647,55.5,0.484,0.381,0.647,0.573,0.322,0
2017Honduras,Honduras,2017,6.02,8.624,0.843,67,0.898,0.072,0.783,0.842,0.248,0
2017Hong Kong S.A.R. of China,Hong Kong S.A.R. of China,2017,5.362,11,0.831,,0.831,0.14,0.416,0.64,0.201,0
2017Hungary,Hungary,2017,6.065,10.293,0.877,67.2,0.661,-0.139,0.886,0.735,0.181,0
2017Iceland,Iceland,2017,7.476,10.925,0.967,73,0.939,0.246,0.727,0.895,0.148,0
2017India,India,2017,4.046,8.73,0.607,59.7,0.886,-0.042,0.781,0.682,0.318,21
2017Indonesia,Indonesia,2017,5.098,9.3,0.796,61.9,0.865,0.488,0.9,0.863,0.319,4
2017Iran,Iran,2017,4.717,9.584,0.714,65.7,0.731,0.218,0.715,0.694,0.439,0
2017Iraq,Iraq,2017,4.462,9.303,0.695,59.6,0.628,0,0.757,0.505,0.591,0
2017Ireland,Ireland,2017,7.06,11.266,0.943,72.2,0.905,0.216,0.337,0.833,0.213,3
2017Israel,Israel,2017,7.331,10.57,0.916,73.1,0.768,0.145,0.793,0.674,0.276,4
2017Italy,Italy,2017,6.199,10.64,0.92,73.4,0.633,-0.035,0.867,0.661,0.323,9
2017Ivory Coast,Ivory Coast,2017,5.038,8.483,0.661,48.9,0.732,-0.111,0.771,0.698,0.357,0
2017Jamaica,Jamaica,2017,5.89,9.169,0.913,67.1,0.861,-0.13,0.883,0.769,0.243,0
2017Japan,Japan,2017,5.911,10.618,0.882,74.9,0.849,-0.206,0.659,0.74,0.176,6
2017Jordan,Jordan,2017,4.808,9.194,0.815,66.6,0.766,-0.152,,0.628,0.392,0
2017Kazakhstan,Kazakhstan,2017,5.882,10.121,0.914,64,0.745,-0.035,0.755,0.757,0.171,0
2017Kenya,Kenya,2017,4.476,8.306,0.715,59.5,0.853,0.234,0.854,0.788,0.23,0
2017Kosovo,Kosovo,2017,6.149,9.262,0.792,,0.858,0.117,0.925,0.738,0.186,0
2017Kuwait,Kuwait,2017,6.094,10.837,0.853,66.5,0.884,-0.005,,0.692,0.307,0
2017Kyrgyzstan,Kyrgyzstan,2017,5.63,8.526,0.883,63.8,0.859,0.143,0.874,0.755,0.16,0
2017Laos,Laos,2017,4.623,8.89,0.707,58.3,0.891,0.073,0.592,0.873,0.344,0
2017Latvia,Latvia,2017,5.978,10.257,0.895,66.5,0.7,-0.154,0.798,0.623,0.232,0
2017Lebanon,Lebanon,2017,5.154,9.681,0.777,66.6,0.605,-0.074,0.911,0.515,0.244,0
2017Lesotho,Lesotho,2017,3.795,7.931,0.769,47.3,0.757,-0.145,0.797,0.746,0.255,0
2017Liberia,Liberia,2017,4.424,7.324,0.685,55.3,0.733,-0.012,0.867,0.668,0.391,0
2017Libya,Libya,2017,5.647,9.491,0.823,62.3,0.779,-0.019,0.673,0.697,0.379,0
2017Lithuania,Lithuania,2017,6.273,10.429,0.926,66.7,0.749,-0.174,0.79,0.608,0.195,0
