reference,year,country,billionaires,sum_net_worth,rate,happiness_rank,happiness_score,gdp_per_capita,life_expectancy,freedom,government_corruption,generosity,dystopia_residual
2016Denmark,2016,Denmark,3,22.1,0.006,1,7.526,1.442,0.795,0.579,0.445,0.362,2.739
2016Switzerland,2016,Switzerland,9,50.6,0.018,2,7.509,1.527,0.863,0.586,0.412,0.281,2.695
2016Norway,2016,Norway,1,4.2,0.002,4,7.498,1.577,0.796,0.596,0.358,0.379,2.665
2016Finland,2016,Finland,1,3.5,0.002,5,7.413,1.406,0.811,0.571,0.41,0.255,2.826
2016Canada,2016,Canada,11,74.8,0.022,6,7.404,1.44,0.828,0.574,0.313,0.448,2.705
2016Netherlands,2016,Netherlands,2,16.2,0.004,7,7.339,1.465,0.812,0.552,0.299,0.474,2.707
2016New Zealand,2016,New Zealand,1,6.4,0.002,8,7.334,1.361,0.831,0.581,0.419,0.494,2.476
2016Australia,2016,Australia,5,28.3,0.01,9,7.313,1.444,0.851,0.568,0.323,0.474,2.547
2016Sweden,2016,Sweden,13,88.7,0.026,10,7.291,1.452,0.831,0.582,0.409,0.383,2.547
2016Israel,2016,Israel,5,26.6,0.01,11,7.267,1.338,0.849,0.364,0.087,0.323,3.31
2016Austria,2016,Austria,2,21.2,0.004,12,7.119,1.45,0.806,0.544,0.213,0.329,2.693
2016United States,2016,United States,183,1723.2,0.366,13,7.104,1.508,0.779,0.482,0.149,0.411,2.728
2016Germany,2016,Germany,41,317.1,0.082,16,6.994,1.448,0.815,0.535,0.286,0.305,2.509
2016Brazil,2016,Brazil,9,91.8,0.018,17,6.952,1.088,0.614,0.404,0.142,0.158,3.507
2016Belgium,2016,Belgium,1,4.9,0.002,18,6.929,1.425,0.82,0.514,0.262,0.242,2.614
2016Ireland,2016,Ireland,3,24.5,0.006,19,6.907,1.483,0.815,0.54,0.298,0.45,2.16
2016Mexico,2016,Mexico,7,86.4,0.014,21,6.778,1.115,0.711,0.377,0.184,0.117,3.559
2016Singapore,2016,Singapore,4,21.8,0.008,22,6.739,1.646,0.947,0.488,0.47,0.327,1.994
2016United Kingdom,2016,United Kingdom,15,98.5,0.03,23,6.725,1.403,0.81,0.5,0.274,0.502,2.15
2016Chile,2016,Chile,2,13.8,0.004,24,6.705,1.217,0.819,0.378,0.115,0.316,2.955
2016Argentina,2016,Argentina,1,4.5,0.002,26,6.65,1.151,0.697,0.423,0.073,0.11,3.13
2016Czech Republic,2016,Czech Republic,1,10.6,0.002,27,6.596,1.309,0.764,0.414,0.04,0.099,2.962
2016United Arab Emirates,2016,United Arab Emirates,2,9.9,0.004,28,6.573,1.574,0.73,0.562,0.356,0.266,2.215
2016Colombia,2016,Colombia,1,8.9,0.002,31,6.481,1.03,0.597,0.447,0.054,0.156,3.175
2016France,2016,France,15,167.8,0.03,32,6.478,1.395,0.838,0.466,0.178,0.122,2.474
2016Thailand,2016,Thailand,3,21.2,0.006,33,6.474,1.089,0.649,0.496,0.028,0.587,2.58
2016Saudi Arabia,2016,Saudi Arabia,3,29,0.006,34,6.379,1.49,0.593,0.379,0.3,0.155,2.615
2016Taiwan,2016,Taiwan,3,16.6,0.006,34,6.379,1.397,0.796,0.324,0.066,0.255,2.615
2016Spain,2016,Spain,4,82.2,0.008,37,6.361,1.343,0.879,0.375,0.061,0.177,2.397
2016Venezuela,2016,Venezuela,1,3.7,0.002,44,6.084,1.134,0.619,0.198,0.083,0.043,2.975
2016Malaysia,2016,Malaysia,5,32,0.01,47,6.005,1.251,0.624,0.39,0.091,0.415,2.354
2016Italy,2016,Italy,9,89.1,0.018,50,5.977,1.355,0.851,0.188,0.026,0.167,2.349
2016Japan,2016,Japan,9,58.6,0.018,53,5.921,1.38,0.915,0.468,0.19,0.102,1.806
2016Russia,2016,Russia,25,194.7,0.05,56,5.856,1.232,0.59,0.327,0.036,0.027,2.591
2016Poland,2016,Poland,1,3.6,0.002,57,5.835,1.246,0.691,0.452,0.055,0.144,2.2
2016South Korea,2016,South Korea,5,31.3,0.01,57,5.835,1.359,0.886,0.252,0.077,0.188,2.35
2016Cyprus,2016,Cyprus,1,8.5,0.002,69,5.546,1.319,0.849,0.295,0.052,0.279,2.045
2016Hong Kong,2016,Hong Kong,19,163,0.038,75,5.458,1.511,0.953,0.481,0.316,0.401,0.926
2016Indonesia,2016,Indonesia,4,25.1,0.008,79,5.314,0.951,0.494,0.392,0.003,0.565,2.032
2016Philippines,2016,Philippines,4,25.6,0.008,82,5.279,0.812,0.47,0.549,0.118,0.217,2.235
2016China,2016,China,38,252,0.076,83,5.245,1.028,0.736,0.44,0.027,0.05,2.171
2016Portugal,2016,Portugal,1,4.1,0.002,94,5.123,1.276,0.794,0.447,0.015,0.117,1.53
2016Nigeria,2016,Nigeria,2,25.4,0.004,103,4.875,0.752,0.051,0.279,0.031,0.232,2.886
2016South Africa,2016,South Africa,3,17.7,0.006,116,4.459,1.024,0.186,0.425,0.084,0.137,1.642
2016India,2016,India,19,137.8,0.038,118,4.404,0.74,0.451,0.403,0.087,0.25,2.18
2016Egypt,2016,Egypt,1,3.7,0.002,120,4.362,0.954,0.521,0.188,0.104,0.127,1.969
2016Georgia,2016,Georgia,1,4.8,0.002,126,4.252,0.838,0.64,0.325,0.319,0.068,1.87
2017Norway,2017,Norway,1,5.3,0.002,1,7.537,1.616,0.797,0.635,0.362,0.316,2.277
2017Denmark,2017,Denmark,3,31.2,0.006,2,7.522,1.482,0.793,0.626,0.355,0.401,2.314
2017Switzerland,2017,Switzerland,11,59.2,0.022,4,7.494,1.565,0.858,0.62,0.291,0.367,2.277
2017Netherlands,2017,Netherlands,2,17,0.004,6,7.377,1.504,0.811,0.585,0.47,0.283,2.295
2017Canada,2017,Canada,10,80.8,0.02,7,7.316,1.479,0.835,0.611,0.436,0.287,2.187
2017New Zealand,2017,New Zealand,1,9.5,0.002,8,7.314,1.406,0.817,0.614,0.5,0.383,2.046
2017Sweden,2017,Sweden,11,82.4,0.022,9,7.284,1.494,0.831,0.613,0.385,0.384,2.098
2017Australia,2017,Australia,6,43.2,0.012,10,7.284,1.484,0.844,0.602,0.478,0.301,2.065
2017Israel,2017,Israel,4,24.6,0.008,11,7.213,1.375,0.838,0.406,0.33,0.085,2.802
2017Austria,2017,Austria,2,20.6,0.004,13,7.006,1.487,0.815,0.568,0.316,0.221,2.139
2017United States,2017,United States,183,1963,0.366,14,6.993,1.546,0.774,0.506,0.393,0.136,2.218
2017Ireland,2017,Ireland,3,25.6,0.006,15,6.977,1.536,0.81,0.573,0.428,0.298,1.774
2017Germany,2017,Germany,34,304.8,0.068,16,6.951,1.488,0.799,0.563,0.336,0.277,2.016
2017Belgium,2017,Belgium,1,4.9,0.002,17,6.891,1.464,0.818,0.54,0.232,0.251,2.124
2017United Kingdom,2017,United Kingdom,13,88.8,0.026,19,6.714,1.442,0.805,0.508,0.493,0.265,1.704
2017Chile,2017,Chile,2,18.4,0.004,20,6.652,1.253,0.819,0.377,0.327,0.082,2.51
2017United Arab Emirates,2017,United Arab Emirates,3,21.5,0.006,21,6.648,1.626,0.727,0.608,0.361,0.324,1.735
2017Brazil,2017,Brazil,9,100.3,0.018,22,6.635,1.107,0.617,0.437,0.162,0.111,2.769
2017Czech Republic,2017,Czech Republic,1,12.2,0.002,23,6.609,1.353,0.754,0.491,0.088,0.037,2.452
2017Mexico,2017,Mexico,7,99.9,0.014,25,6.578,1.153,0.71,0.413,0.121,0.133,2.837
2017Singapore,2017,Singapore,5,29.9,0.01,26,6.572,1.692,0.949,0.55,0.346,0.464,1.216
2017France,2017,France,16,201.5,0.032,31,6.442,1.431,0.844,0.47,0.13,0.173,2.006
2017Thailand,2017,Thailand,4,33.6,0.008,32,6.424,1.128,0.647,0.58,0.572,0.032,2.04
2017Spain,2017,Spain,3,83.1,0.006,34,6.403,1.384,0.889,0.409,0.19,0.071,1.928
2017Colombia,2017,Colombia,1,11,0.002,36,6.357,1.071,0.595,0.477,0.149,0.047,2.616
2017Saudi Arabia,2017,Saudi Arabia,3,30.6,0.006,37,6.344,1.531,0.59,0.45,0.148,0.273,2.065
2017Malaysia,2017,Malaysia,5,34.1,0.01,42,6.084,1.291,0.619,0.402,0.417,0.066,2.004
2017Italy,2017,Italy,9,94.1,0.018,48,5.964,1.395,0.853,0.256,0.173,0.028,1.813
2017Russia,2017,Russia,28,268.7,0.056,49,5.963,1.282,0.547,0.374,0.052,0.033,2.206
2017Japan,2017,Japan,6,63.8,0.012,51,5.92,1.417,0.913,0.506,0.121,0.164,1.363
2017South Korea,2017,South Korea,6,41.9,0.012,55,5.838,1.402,0.9,0.258,0.207,0.063,1.88
2017Cyprus,2017,Cyprus,1,9.9,0.002,65,5.621,1.356,0.845,0.355,0.271,0.041,1.621
2017Philippines,2017,Philippines,2,18.5,0.004,72,5.43,0.858,0.468,0.585,0.194,0.099,1.973
2017China,2017,China,40,341.8,0.08,79,5.273,1.081,0.741,0.473,0.029,0.023,1.765
2017Indonesia,2017,Indonesia,4,27.9,0.008,81,5.262,0.996,0.492,0.443,0.612,0.015,1.429
2017Portugal,2017,Portugal,1,4.4,0.002,89,5.195,1.315,0.796,0.498,0.095,0.016,1.108
2017Nigeria,2017,Nigeria,2,18,0.004,95,5.074,0.784,0.057,0.395,0.231,0.026,2.365
2017South Africa,2017,South Africa,3,18.7,0.006,101,4.829,1.055,0.187,0.479,0.139,0.073,1.511
2017Egypt,2017,Egypt,2,9.5,0.004,104,4.735,0.99,0.52,0.282,0.129,0.114,1.702
2017India,2017,India,21,171.9,0.042,122,4.315,0.792,0.455,0.47,0.232,0.092,1.519
2017Georgia,2017,Georgia,1,4.5,0.002,125,4.286,0.951,0.65,0.309,0.054,0.252,1.5
2017Ukraine,2017,Ukraine,1,4.6,0.002,132,4.096,0.895,0.576,0.123,0.27,0.023,0.814
2018Norway,2018,Norway,2,11,0.004,2,7.594,1.456,0.861,0.686,0.34,0.286,
2018Denmark,2018,Denmark,6,33.7,0.012,3,7.555,1.351,0.868,0.683,0.408,0.284,
2018Switzerland,2018,Switzerland,10,63.5,0.02,5,7.487,1.42,0.927,0.66,0.357,0.256,
2018Netherlands,2018,Netherlands,2,21,0.004,6,7.441,1.361,0.878,0.638,0.295,0.333,
2018Canada,2018,Canada,9,80.3,0.018,7,7.328,1.33,0.896,0.653,0.291,0.321,
2018New Zealand,2018,New Zealand,1,10.1,0.002,8,7.324,1.268,0.876,0.669,0.389,0.365,
2018Sweden,2018,Sweden,11,86.5,0.022,9,7.314,1.355,0.913,0.659,0.383,0.285,
2018Australia,2018,Australia,6,48.4,0.012,10,7.272,1.34,0.91,0.647,0.302,0.361,
2018United Kingdom,2018,United Kingdom,18,132.3,0.036,11,7.19,1.244,0.888,0.464,0.082,0.262,
2018Austria,2018,Austria,2,31.1,0.004,12,7.139,1.341,0.891,0.617,0.224,0.242,
2018Ireland,2018,Ireland,3,29,0.006,14,6.977,1.448,0.876,0.614,0.306,0.307,
2018Germany,2018,Germany,39,385.6,0.078,15,6.965,1.34,0.861,0.586,0.28,0.273,
2018Belgium,2018,Belgium,1,6.2,0.002,16,6.927,1.324,0.894,0.583,0.24,0.188,
2018United States,2018,United States,158,2086,0.316,18,6.886,1.398,0.819,0.547,0.133,0.291,
2018Israel,2018,Israel,3,20.6,0.006,19,6.814,1.301,0.883,0.533,0.272,0.354,
2018United Arab Emirates,2018,United Arab Emirates,2,10.5,0.004,20,6.774,2.096,0.67,0.284,,0.186,
2018Czech Republic,2018,Czech Republic,2,20.1,0.004,21,6.711,1.233,0.854,0.543,0.034,0.064,
2018France,2018,France,17,267.6,0.034,23,6.489,1.293,0.908,0.52,0.176,0.098,
2018Mexico,2018,Mexico,8,125.2,0.016,24,6.488,1.038,0.761,0.479,0.095,0.069,
2018Chile,2018,Chile,3,25.9,0.006,25,6.476,1.131,0.808,0.431,0.061,0.197,
2018Taiwan,2018,Taiwan,3,21.1,0.006,26,6.441,1.365,0.857,0.418,0.078,0.151,
2018Brazil,2018,Brazil,9,107.1,0.018,28,6.419,0.986,0.675,0.493,0.088,0.11,
2018Singapore,2018,Singapore,4,30,0.008,34,6.343,1.529,1.008,0.631,0.457,0.261,
2018Malaysia,2018,Malaysia,6,45.5,0.012,35,6.322,1.161,0.669,0.356,0.059,0.311,
2018Spain,2018,Spain,4,85.8,0.008,36,6.31,1.251,0.965,0.449,0.074,0.142,
2018Colombia,2018,Colombia,1,12.1,0.002,37,6.26,0.96,0.635,0.531,0.039,0.099,
2018Thailand,2018,Thailand,3,37.8,0.006,46,6.072,1.016,0.707,0.637,0.029,0.364,
2018Italy,2018,Italy,8,92.3,0.016,47,6,1.264,0.946,0.281,0.028,0.137,
2018Japan,2018,Japan,8,86.5,0.016,54,5.915,1.294,0.988,0.553,0.15,0.079,
2018South Korea,2018,South Korea,8,67.1,0.016,57,5.875,1.266,0.955,0.244,0.051,0.175,
2018Russia,2018,Russia,27,276.6,0.054,59,5.81,1.151,0.599,0.399,0.025,0.065,
2018Cyprus,2018,Cyprus,1,7,0.002,61,5.762,1.229,0.909,0.423,0.035,0.202,
2018Philippines,2018,Philippines,4,35.4,0.008,71,5.524,0.775,0.513,0.643,0.105,0.12,
2018Turkey,2018,Turkey,1,4.8,0.002,74,5.483,1.148,0.686,0.324,0.109,0.106,
2018Hong Kong,2018,Hong Kong,22,238.3,0.044,76,5.43,1.405,1.03,0.524,0.291,0.246,
2018Portugal,2018,Portugal,1,5.1,0.002,77,5.41,1.188,0.884,0.562,0.017,0.055,
2018China,2018,China,50,535.6,0.1,86,5.246,0.989,0.799,0.597,0.103,0.029,
2018Nigeria,2018,Nigeria,2,19.4,0.004,91,5.155,0.689,0.048,0.462,0.032,0.201,
2018Indonesia,2018,Indonesia,3,41.1,0.006,96,5.093,0.899,0.522,0.538,0.018,0.484,
2018Venezuela,2018,Venezuela,1,4.4,0.002,102,4.806,0.996,0.657,0.133,0.052,0.056,
2018South Africa,2018,South Africa,2,14.7,0.004,105,4.724,0.94,0.33,0.516,0.056,0.103,
2018Egypt,2018,Egypt,1,6.6,0.002,122,4.419,0.885,0.553,0.312,0.107,0.092,
2018Georgia,2018,Georgia,1,4.6,0.002,128,4.34,0.853,0.643,0.375,0.215,0.038,
2018India,2018,India,26,248,0.052,133,4.19,0.721,0.485,0.539,0.093,0.172,
2018Ukraine,2018,Ukraine,1,5.5,0.002,138,4.103,0.793,0.609,0.163,0.011,0.187,
2019Finland,2019,Finland,1,4.24,0.002,1,7.769,1.34,0.986,0.596,0.393,0.153,
2019Denmark,2019,Denmark,6,29.04,0.012,2,7.6,1.383,0.996,0.592,0.41,0.252,
2019Norway,2019,Norway,3,13.39,0.006,3,7.554,1.488,1.028,0.603,0.341,0.271,
2019Netherlands,2019,Netherlands,2,19.96,0.004,5,7.488,1.396,0.999,0.557,0.298,0.322,
2019Switzerland,2019,Switzerland,11,66.16,0.022,6,7.48,1.452,1.052,0.572,0.343,0.263,
2019Sweden,2019,Sweden,10,81.94,0.02,7,7.343,1.387,1.009,0.574,0.373,0.267,
2019New Zealand,2019,New Zealand,1,6.94,0.002,8,7.307,1.303,1.026,0.585,0.38,0.33,
2019Canada,2019,Canada,12,71.89,0.024,9,7.278,1.365,1.039,0.584,0.308,0.285,
2019Austria,2019,Austria,2,21.14,0.004,10,7.246,1.376,1.016,0.532,0.226,0.244,
2019Australia,2019,Australia,10,68.94,0.02,11,7.228,1.372,1.036,0.557,0.29,0.332,
2019Israel,2019,Israel,4,26.21,0.008,13,7.139,1.276,1.029,0.371,0.082,0.261,
2019United Kingdom,2019,United Kingdom,14,104.07,0.028,15,7.054,1.333,0.996,0.45,0.278,0.348,
2019Ireland,2019,Ireland,2,26.7,0.004,16,7.021,1.499,0.999,0.516,0.31,0.298,
2019Germany,2019,Germany,32,261.56,0.064,17,6.985,1.373,0.987,0.495,0.265,0.261,
2019United States,2019,United States,181,2187.91,0.362,19,6.892,1.433,0.874,0.454,0.128,0.28,
2019Czech Republic,2019,Czech Republic,1,11.5,0.002,20,6.852,1.269,0.92,0.457,0.036,0.046,
2019United Arab Emirates,2019,United Arab Emirates,2,9.74,0.004,21,6.825,1.503,0.825,0.598,0.182,0.262,
2019Mexico,2019,Mexico,4,84.86,0.008,23,6.595,1.07,0.861,0.433,0.073,0.074,
2019France,2019,France,11,241.55,0.022,24,6.592,1.324,1.045,0.436,0.183,0.111,
2019Taiwan,2019,Taiwan,3,15.74,0.006,25,6.446,1.368,0.914,0.351,0.097,0.242,
2019Chile,2019,Chile,1,16.5,0.002,26,6.444,1.159,0.92,0.357,0.056,0.187,
2019Saudi Arabia,2019,Saudi Arabia,4,36.99,0.008,28,6.375,1.403,0.795,0.439,0.132,0.08,
2019Spain,2019,Spain,3,78.16,0.006,30,6.354,1.286,1.062,0.362,0.079,0.153,
2019Brazil,2019,Brazil,13,109.84,0.026,32,6.3,1.004,0.802,0.39,0.086,0.099,
2019Singapore,2019,Singapore,7,42.33,0.014,34,6.262,1.572,1.141,0.556,0.453,0.271,
2019Italy,2019,Italy,5,63.86,0.01,36,6.223,1.294,1.039,0.231,0.03,0.158,
2019Colombia,2019,Colombia,3,28.47,0.006,43,6.125,0.985,0.841,0.47,0.034,0.099,
2019Cyprus,2019,Cyprus,1,8.03,0.002,49,6.046,1.263,1.042,0.406,0.041,0.19,
2019Thailand,2019,Thailand,7,40.88,0.014,52,6.008,1.05,0.828,0.557,0.028,0.359,
2019Japan,2019,Japan,7,79.46,0.014,58,5.886,1.327,1.088,0.445,0.14,0.069,
2019Philippines,2019,Philippines,3,15.13,0.006,69,5.631,0.807,0.657,0.558,0.107,0.117,
2019Hong Kong,2019,Hong Kong,18,193.63,0.036,76,5.43,1.438,1.122,0.44,0.287,0.258,
2019Malaysia,2019,Malaysia,5,39.74,0.01,80,5.339,1.221,0.828,0.508,0.024,0.26,
2019Nigeria,2019,Nigeria,1,16.7,0.002,85,5.265,0.696,0.245,0.426,0.041,0.215,
2019Indonesia,2019,Indonesia,5,50.73,0.01,92,5.192,0.931,0.66,0.491,0.028,0.498,
2019China,2019,China,44,453.07,0.088,93,5.191,1.029,0.893,0.521,0.1,0.058,
2019South Africa,2019,South Africa,3,19.63,0.006,106,4.722,0.96,0.469,0.389,0.055,0.13,
2019Georgia,2019,Georgia,1,5.2,0.002,119,4.519,0.886,0.752,0.346,0.164,0.043,
2019Ukraine,2019,Ukraine,1,5.81,0.002,133,4.332,0.82,0.739,0.178,0.01,0.187,
2019Egypt,2019,Egypt,2,11.89,0.004,137,4.166,0.913,0.644,0.241,0.067,0.076,
2019India,2019,India,20,198.41,0.04,140,4.015,0.755,0.588,0.498,0.085,0.2,
